site;Total;Nb_dif_Sp;Margalef_Index
5093540_050U;1042;36;156.72
5112285_340U;1266;38;190.44
5112288_338U;1192;48;179.3
5119785_336U;828;34;124.5
5134781_429U;624;32;93.79
5138532_043U;1448;41;217.84
5138539_053U;174;7;26.04
5142281_057U;1774;59;266.91
5142284_337U;1266;38;190.44
5142287_052U;1790;37;269.32
5149786_333U;1644;36;247.34
5153535_339H;142;19;21.23
5153535_339U;895;47;134.59
5191039_334U;522;29;78.43
5206038_332U;1412;42;212.42
5206053_327U;1580;38;237.71
5247328_323U;1814;50;272.94
5273543_033U;1922;51;289.19
5281044_034U;910;25;136.84
5296045_321D;324;24;48.63
5296045_321U;439;29;65.94
5299793_319U;3894;49;586.07
5299833_009U;1358;43;204.29
5318544_580U;2214;49;333.15
5329798_024U;1190;28;179
5356050_025U;1670;36;251.26
5363549_026U;1566;60;235.6
5378551_036U;1374,5;57;206.77
5434824_011U;1200;39;180.5
5442305_425U;1812;37;272.63
5449808_046U;1364;49;205.19
5449827_012U;476;34;71.51
5453559_047U;1090;46;163.94
5464803_058U;918;33;138.05
5464848_004U;1548;33;232.89
5472302_068U;2576;52;387.65
5476054_421U;1962;59;295.22
5483554_038U;1822;39;274.14
5539807_059U;1817;46;273.39
5569813_029U;748;35;112.46
5573561_039U;1216;44;182.91
5573562_040U;1066;47;160.33
5584812_041U;2730;50;410.83
5644815_431U;2220;37;334.06
5779822_314U;2840;42;427.39
5794824_312U;1310;50;197.06
5798575_313U;1302;47;195.86
5907332_061U;1206;30;181.41
5922332_E16U;3916;41;589.38
5926082_069U;1596;39;240.12
6019841_469U;878;39;132.03
6132349_460U;2902;50;436.73
6207355_459U;916;43;137.75
6282363_115U;1472;42;221.45
6301112_456U;1278;44;192.24
6312366_452U;990;36;148.89
6342365_308U;1336;42;200.98
6349866_309U;1368;43;205.79
6349868_306U;2324;51;349.71
6387371_095U;2582;45;388.55
6391122_096U;2356;48;354.53
6394872_097U;3132;37;471.35
6428624_116U;888;36;133.53
6428640_074U;1703;44;256.23
6571139_117U;376;25;56.45
6631152_305U;1434;31;215.73
6631160_441U;1428;45;214.83
6638669_077U;1434;37;215.73
6687436_437U;510;17;76.63
6709901_465U;1400;49;210.61
6769910_119U;1624;29;244.33
6856168_120U;2033;46;305.9
7062451_124U;1574;30;236.81
7279991_295U;2068;44;311.17
7287491_569U;1442;36;216.93
7287523_293U;2404;38;361.76
7355003_126U;590;28;88.67
7366256_110U;1704;53;256.38
7396295_072U;2016;33;303.35
7400010_132U;4128;39;621.29
7418791_292U;1622;42;244.03
7426302_071U;5472;37;823.62
7430017_133U;2476;38;372.6
7441280_088U;2234;36;336.16
7497531_289U;2418;40;363.86
7497533_288U;2134;47;321.11
7501284_287U;1430;37;215.13
7505035_090U;321;30;48.17
7523799_085U;1226;29;184.42
7538790_127U;2572;36;387.05
7580047_283U;918;31;138.05
7583799_281U;2000;51;300.94
7587551_282U;2282;65;343.39
7673819_166U;1230;49;185.02
7677571_167U;1702;46;256.07
7681321_168U;1976;47;297.32
7718843_147U;1136;30;170.87
7737580_190U;2030;37;305.45
7741330_277U;1560;45;234.7
7741332_276U;1040;28;156.41
7748830_192U;1342;42;201.88
7752615_135U;974;45;146.48
7760084_279U;696;29;104.63
7760087_169U;3032;65;456.3
7760093_148U;1240;39;186.52
7763835_280U;896;41;134.74
7782592_170U;3000;57;451.48
7790093_274U;1712;53;257.58
7790097_273U;1310;26;197.06
7793845_275U;3343;61;503.12
7801348_171U;1400;48;210.61
7805098_172U;2248;49;338.27
7805138_136U;1151,5;39;173.2
7842612_184U;912;39;137.15
7853865_193U;1252;45;188.33
7857617_194U;1132;37;170.26
7872628_181U;1650;46;248.25
7876377_175U;1310;39;197.06
7895153_156U;2224;48;334.66
7928917_159U;1458;43;219.34
7947649_178U;2188;36;329.24
7951400_179U;2686;54;404.21
7951400_180H;1067;33;160.48
7951400_180U;521;34;78.28
7955205_140U;594;33;89.27
7958901_185U;2688;43;404.51
7962677_153U;690;38;103.72
7966405_262U;2718;61;409.03
7970155_E35U;2036;52;306.36
7970183_160U;1156;34;173.88
7973906_173U;3106;44;467.44
7973906_E34U;2202;48;331.35
7988911_E32U;1900;52;285.88
7996420_182U;892;31;134.13
8015202_162U;796;36;119.68
8026440_249U;1402;37;210.91
8041442_256U;1288;50;193.75
8041470_163U;950;42;142.87
8045191_257U;1188;34;178.7
8048941_258U;660;30;99.21
8048942_251U;4888;51;735.71
8052692_259U;1010;32;151.9
8052701_252U;976;23;146.78
8060201_253U;2680;46;403.31
8079052_196U;970;32;145.88
8094002_521U;1364;46;205.19
8112731_188U;1066;39;160.33
8142758_231U;1324;37;199.17
8150243_189U;6568;45;988.62
8169012_239U;1142;40;171.77
8176532_525U;658;21;98.91
8180278_226U;1378;44;207.3
8180279_227U;1376;48;207
8184033_228U;1240;44;186.52
8187776_E27U;2412;38;362.96
8187778_E26U;2308;44;347.3
8191534_240U;2224;40;334.66
8195285_E21U;1208;39;181.71
8195294_218U;754;22;113.36
8199040_E22U;2908;46;437.63
8199042_E23U;2496;47;375.61
8199050_229U;1338;38;201.28
8206557_219U;1346;39;202.48
8210341_236U;868;54;130.52
8214056_E24U;2674;42;402.4
8217809_E25U;2378;44;357.84
8217818_536U;2748;52;413.54
8217821_220U;1716;37;258.18
8236612_233U;970;40;145.88
8240382_524U;612;29;91.98
8247858_241U;952;41;143.17
8251616_242U;900;32;135.34
8255369_237U;1044;33;157.02
8262932_246U;808;33;121.49
8262941_234U;556;35;83.55
8266626_247U;1218;42;183.21
8266629_244U;1862;39;280.16
8270418_248U;370;40;55.55
2813594_753H;351;22;52.69
2813594_753U;585;41;87.92
2817352_E10U;2886;40;434.32
2821102_790U;5394;44;811.88
2821116_754U;888;32;133.53
2824869_D13U;854;35;128.41
2832346_D92U;1152;40;173.28
2836093_811U;4558;58;686.03
2836095_792U;3782;40;569.21
2836118_N02U;5142;46;773.94
2839880_799U;2472;49;371.99
2843613_800U;2500;45;376.21
2847342_D20U;1970;39;296.42
2851125_672U;1474;43;221.75
2862392_N08U;2496;46;375.61
2869848_755U;1132;36;170.26
2869857_785U;984;31;147.98
2869860_794U;696;40;104.63
2869892_653U;1428;38;214.83
2873616_D26U;2662;49;400.6
2873643_768U;1976;43;297.32
2881089_812U;848;38;127.51
2881097_756U;962;42;144.67
2884879_714U;1550;50;233.19
2884893_593U;2958;56;445.16
2884894_769U;8482;50;1276.76
2892346_757U;2164;42;325.63
2896092_758U;548;25;82.35
2896101_795U;2478;51;372.9
2896132_674U;1728;37;259.99
2899865_596U;3086;45;464.43
2899866_641U;1152;46;173.28
2899897_621U;2018;53;303.65
2903619_642U;1400;37;210.61
2903649_598U;4122;58;620.39
2903649_622U;7268;43;1094
2907345_759U;1398;39;210.31
2907406_597U;9225,5;41;1388.69
2907407_E02U;4584;54;689.94
2911119_740U;1490;31;224.16
2911137_699U;1022;30;153.71
2914838_761U;630;33;94.69
2914892_697U;1244;38;187.13
2926096_763U;1656;49;249.15
2929858_636U;2542;50;382.53
2933594_764U;768;37;115.47
2944845_814U;2290;50;344.59
2948628_742U;2050;43;308.46
2948629_624U;2652;54;399.09
2948656_778U;1768;41;266.01
2948671_D48U;1680;45;252.76
2956169_775U;1484;41;223.26
2967420_N07U;2468;40;371.39
2971146_745U;1600;33;240.72
2974848_815U;1148;42;172.67
2978601_603U;1236;41;185.92
2982357_677U;956;34;143.77
2982409_D27U;7320;41;1101.83
2982423_779U;1530;39;230.18
2986169_600U;3608;59;543.01
2989906_625U;1941;47;292.05
2993672_820U;870;33;130.82
2997396_806U;8346;48;1256.29
3001111_706U;985;32;148.13
3001177_780U;2748;48;413.54
3004862_654U;1428;38;214.83
3004895_788U;4170;45;627.62
3004919_781U;1390;35;209.11
3008610_655U;1830;47;275.34
3008647_751U;2930;46;440.94
3008677_626U;2332;43;350.92
3012366_750U;3086;44;464.43
3012422_E06U;1706;44;256.68
3012427_782U;1602;46;241.02
3016142_808U;3400;48;511.7
3023646_752U;5158;55;776.35
3031130_D30U;906;36;136.24
3031164_602U;1960;40;294.91
3031168_601U;1600;36;240.72
3034916_707U;1304;33;196.16
3049924_D65U;1208;33;181.71
3053673_680U;2660;39;400.3
3057385_798U;2572;43;387.05
3061178_605U;4062;40;611.36
3068661_D73U;1414;30;212.72
3068678_606U;2326;41;350.01
3072424_658U;1296;41;194.95
3072427_657U;1284;48;193.15
3079887_720U;1510;38;227.17
3083678_586U;10050;50;1512.81
3091177_607U;1584;51;238.31
3094883_725U;640;33;96.2
3098632_724U;2686;45;404.21
3098678_608U;3254;45;489.72
3106124_587U;704;32;105.83
3106150_726H;648;36;97.4
3106176_659U;1326;37;199.47
3109882_728U;988;40;148.59
3109928_628U;1804;44;271.43
3117399_730U;1289;35;193.9
3117426_661U;754;26;113.36
3121179_588U;2442;45;367.48
3139905_735U;1084;28;163.04
3139928_590U;1820;40;273.84
3143626_609U;2096;40;315.39
3143642_688H;181;19;27.1
3143643_688U;1275;36;191.79
3143644_689U;2712;34;408.12
3143675_765U;1268;37;190.74
3147377_816U;2084;39;313.58
3147422_662U;996;45;149.79
3151178_663U;3036;41;456.9
3162382_651U;4412;38;664.05
3166134_614U;1290;39;194.05
3166137_652U;942;43;141.66
3166164_695U;1380;24;207.6
3166166_667U;524;25;78.73
3166174_665U;1516;43;228.07
3169917_666U;1596;30;240.12
3173643_694U;1074;38;161.53
3173647_693U;1850;41;278.36
3173661_696U;3828;32;576.13
3177390_767U;840;35;126.31
3177399_692U;1908;40;287.09
3181145_691U;1486;40;223.56
3184909_670U;1434;32;215.73
3188642_617U;2040;41;306.96
3188665_690U;1520;41;228.68
3192393_616U;1100;47;165.45
3192415_D54U;986;34;148.29
3199918_592U;4528;44;681.51
4752285_005U;1278;36;192.24
4767268_075U;590;37;88.67
4767268_078U;856;35;128.71
4771018_076U;560;34;84.15
4823515_077U;116,75;29;17.43
4849766_079U;706;30;106.13
4853516_080U;770;27;115.77
4894773_357U;1110;39;166.95
4902272_370U;1740;34;261.8
4902274_356U;1036;47;155.81
4906023_371U;702;36;105.53
4917276_082U;2028;36;305.15
4932274_368U;1546;41;232.59
4932275_354U;1676;48;252.16
4936025_355U;1088;44;163.64
4939776_369U;1074;42;161.53
4951028_360U;1482;32;222.96
4954778_361U;1470;35;221.15
4962278_353U;2386;56;359.05
4966029_352U;1136;30;170.87
4973529_083U;1398;44;210.31
4973530_041U;1342;33;201.88
4981031_040U;1092;33;164.24
4984786_052U;1094;34;164.54
4999780_084U;1442;44;216.93
4999786_053U;1166;38;175.38
5089784_085U;1586;45;238.61
5093534_086U;1302;31;195.86
5138533_065U;1726;44;259.69
5168540_055H;96;17;14.3
5191052_331U;256;21;38.39
5209789_350U;1764;54;265.41
5213552_333U;885;30;133.08
5213553_332U;996;33;149.79
5221039_351U;1074;28;161.53
5221041_358U;1376;24;207
5228541_359U;1170;37;175.99
5228549_339U;812;36;122.09
5232289_367U;2736;38;411.74
5247291_036U;1438;51;216.33
5251040_066U;3546;47;533.68
5251078_329U;636;18;95.6
5254807_006U;556;26;83.55
5277293_042U;3012;57;453.29
5284793_043U;1170;32;175.99
5307295_348H;290;28;43.51
5307295_348U;427;39;64.13
5311045_349U;1195;37;179.75
5311046_341H;270;20;40.5
5311046_341U;316;42;47.42
5314796_342U;1320;44;198.57
5367300_044U;1802;39;271.13
5378555_037U;1126;33;169.36
5382302_038U;966;35;145.27
5461052_088U;2110;36;317.5
5464811_045U;1186;36;178.39
5479805_047U;2676;44;402.7
5483555_048U;1968;44;296.12
5491054_089U;2124;33;319.6
5547309_068U;918;36;138.05
5566061_050U;3206;48;482.49
5569811_051H;647;31;97.25
5569811_051U;802;42;120.59
5569812_049U;1920;35;288.89
5614814_069U;2160;46;325.02
5667320_061H;138;19;20.62
5667320_061U;475;29;71.36
5682336_023U;682;23;102.52
5701070_022H;135;19;20.17
5701070_022U;379;33;56.91
5712326_062U;998;39;150.09
5719826_856U;1308;33;196.76
5727342_025U;726;35;109.14
5738572_071U;2106;46;316.89
5791074_346U;2408;50;362.36
5802325_347U;1316;43;197.96
5817363_327U;1610;37;242.22
5824836_336U;660;38;99.21
5839827_072U;790;35;118.78
6214858_898U;2624;39;394.88
6233609_133U;2166;38;325.93
6301115_134U;1160;37;174.48
6312364_899U;2780;41;418.36
6353617_406U;2498;44;375.91
6353618_394U;2240;52;337.07
6357368_395U;756;33;113.66
6406121_136U;2116;38;318.4
6417374_137U;826;34;124.2
6477401_096U;1218;34;183.21
6526137_883U;1928;29;290.1
6548637_889U;944;22;141.96
6571137_138U;922;38;138.65
6586140_139U;1320;37;198.57
6619900_A90U;1706;37;256.68
6627410_879U;1158;38;174.18
6634902_405U;1102;37;165.75
6653655_110U;806;40;121.19
6702421_098U;1258;43;189.23
6863669_142U;2094;41;315.09
6886172_143U;1000;33;150.39
7017438_150U;1216;42;182.91
7017443_144U;1097;38;165
7017444_398U;866;35;130.22
7028695_400U;1918;43;288.59
7028696_399U;1508;44;226.87
7036197_401U;1046;40;157.32
7062446_151U;2028;49;305.15
7163721_130U;804;42;120.89
7212478_122U;1222;37;183.81
7276238_396U;4374;51;658.33
7291243_392H;218;21;32.67
7343751_145U;1778;37;267.52
7362504_147U;916;37;137.75
7373756_154U;6164;52;927.8
7373763_123U;2251;46;338.72
7392526_101U;470;24;70.6
7403768_124U;936;37;140.76
7411262_109U;1852;49;278.66
7411267_125U;752;43;113.06
7411298_093U;2034;42;306.06
7415039_374U;1548;48;232.89
7418790_373U;1514;49;227.77
7418801_092U;2034;41;306.06
7433768_155U;1834;49;275.95
7441271_149U;1000;40;150.39
7463773_156U;2342;44;352.42
7501282_390U;1158;40;174.18
7501283_389U;898;33;135.04
7501285_388U;1894;43;284.98
7523782_161U;2134;40;321.11
7538788_158U;2596;46;390.66
7587548_380U;928;22;139.55
7591300_387U;674;27;101.32
7595050_385U;1210;31;182.01
7602550_386U;998;42;150.09
7681320_A03U;2264;45;340.68
7685071_210U;2012;45;302.74
7730080_228U;1152;39;173.28
7730108_164U;1040;42;156.41
7756333_432U;1556;44;234.1
7756335_428H;823;39;123.75
7756335_428U;333;27;49.98
7760085_439U;898;40;135.04
7760086_427U;1602;48;241.02
7763836_440U;830;31;124.8
7767588_229U;1218;45;183.21
7782590_237U;3018;47;454.19
7782590_238U;1814;42;272.94
7790103_202U;708;32;106.43
7797596_426U;2412;53;362.96
7797597_425H;288;30;43.21
7797597_425U;812;42;122.09
7801346_437U;1540;39;231.69
7805097_212U;1560;51;234.7
7805097_213U;1220;37;183.51
7850113_239U;2476;45;372.6
7853864_230U;3438;42;517.42
7853869_218U;674;25;101.32
7868885_416U;1670;50;251.26
7876378_219U;1168;35;175.68
7876388_417U;944;40;141.96
7880139_418U;342;33;51.34
7895148_197U;1080;32;162.44
7910162_198U;1236;47;185.92
7917667_199U;810;35;121.79
7921389_231U;1208;38;181.71
7925140_240U;1110;36;166.95
7955204_175U;496;37;74.52
7955206_174U;854;37;128.41
7962655_423U;2730;51;410.83
7962659_434U;512;22;76.93
7962681_204U;966;39;145.27
7966412_222U;1316;36;197.96
7970158_424U;2931;52;441.09
7973905_214U;2138;54;321.71
7973922_200U;7296;51;1098.22
7985160_241U;1706;42;256.68
8007677_232U;1624;37;244.33
8015177_227U;266;29;39.89
8018954_207U;1110;37;166.95
8022684_233U;1152;34;173.28
8022707_208U;740;25;111.25
8026435_938U;534;24;80.24
8026437_215U;1464;50;220.25
8033943_413U;1368;53;205.79
8045197_430U;1956;61;294.31
8048944_421U;1324;31;199.17
8052704_420U;1620;40;243.73
8052725_224U;1010;54;151.9
8067723_225U;2388;47;359.35
8086460_234U;1964;37;295.52
8090213_244U;1360;45;204.59
8101503_287U;1958;51;294.61
8105221_235U;2334;49;351.22
8112725_955U;228;25;34.17
8112726_245U;924;45;138.95
8131526_265U;682;31;102.52
8139027_268U;550;36;82.65
8146533_269U;812;25;122.09
8165269_301U;1122;45;168.76
8176521_306U;1046;29;157.32
8180272_305U;1512;43;227.47
8187782_307U;2276;61;342.49
8199085_988H;221;16;33.12
8199085_988U;141;24;21.08
8202800_292U;938;34;141.06
8229123_302U;1398;39;210.31
8236595_289U;954;27;143.47
8247848_313U;1542;40;231.99
8247885_290U;782;39;117.57
8251603_310U;908;39;136.54
8251621_309U;1702;36;256.07
8255376_311U;996;40;149.79
8255464_314U;694;25;104.33
8259145_312U;1446;42;217.54
8259221_300U;1114;39;167.56
8262904_294U;3591;47;540.45
8266666_317U;1422;48;213.92
8266687_316U;1172;45;176.29
8266707_324U;1428;47;214.83
8270414_319U;690;33;103.72
8274225_326U;1312;45;197.36
1018376_2013129U;57;17;8.43
1019688_2013129H;238;28;35.68
1071497_2013134U;280;27;42
1072153_2013134H;192;20;28.75
1080679_2012241U;712;30;107.04
1088548_2012242H;549;32;82.5
1101012_2013136U;221;28;33.12
1101667_2013136H;225;29;33.72
1116095_2012229U;928;30;139.55
1122659_2013138H;91;16;13.55
1122660_2013138U;128;25;19.12
1129216_2013141H;452;27;67.9
1129216_2013141U;172;30;25.74
114226_2013015U;322;21;48.32
1149551_2012214U;446;33;66.99
1158075_2013147H;303;19;45.46
1158079_2013146U;1142;32;171.77
1158730_2013147U;193;29;28.9
1165945_2012195U;561,3;43;84.35
1172507_2012159U;319,29;28;47.92
1176444_2012164U;368;35;55.25
1181036_2012190U;1108;44;166.65
1219079_2012160U;241;32;36.13
1219080_2012160H;719;31;108.09
1228916_2012196U;857;46;128.87
1229572_2012196H;1651;43;248.4
1240722_2012198H;176,75;25;26.46
1241377_2012198U;1552;41;233.49
1244642_2012179H;728;36;109.45
1245298_2012179U;355;34;53.29
1247937_2013159H;177;15;26.5
1254499_2012199U;790;28;118.78
1256467_2012165H;1526;31;229.58
1257124_2012165U;322;34;48.32
1267616_2013163H;427;21;64.13
1268271_2013163U;402;20;60.37
1282017_2012172U;271,296;30;40.69
1295822_2013169H;158;21;23.64
1295823_2013168U;457;31;68.65
1296477_2013169U;535;29;80.39
1299103_2012169H;505;24;75.87
1299759_2012169U;334;25;50.13
1301711_2012184U;1264;45;190.14
1304335_2012185H;284;23;42.6
1304335_2012185U;381;27;57.21
1304991_2012186H;250;32;37.49
1305647_2012186U;494;30;74.22
1332549_2013184U;714;32;107.34
1332554_2013185U;190;19;28.45
134560_2012338U;1048;28;157.62
1349581_2012177U;218;24;32.67
1349593_2012189U;732;23;110.05
1353527_2013193H;461;23;69.25
1353528_2013193U;194;31;29.05
1358121_2013198U;1132;34;170.26
1358789_2013199U;4170;50;627.62
1361410_2013203U;652;34;98
1365323_2013206U;1032;37;155.21
1379091_2013212U;1504;29;226.27
1379747_2013212H;779;38;117.12
1383026_2013214U;335;17;50.28
1395495_2013216U;674;32;101.32
1398767_2013218U;256;31;38.39
1399423_2013218H;139;17;20.78
1399451_2012138H;600;45;90.18
1399452_2012138U;708;34;106.43
1402706_2013633U;279;21;41.85
1403361_2013633H;591;31;88.82
1407958_2013219U;282;26;42.3
1408613_2013219H;273;37;40.95
1413206_2013220U;532;23;79.94
1424377_2013221U;271;26;40.65
1424378_2013221H;1859;34;279.71
1445340_2013223U;440;17;66.09
1449926_2013224U;536;18;80.54
1449933_2013225U;599;30;90.03
1450589_2013225H;342;27;51.34
1462408_2013226H;568;32;85.36
1462408_2013226U;199;31;29.81
1478783_2012015H;390;34;58.56
1479440_2012015U;310;21;46.52
1486651_2013230U;172;22;25.74
1495843_2013231H;496;23;74.52
1495844_2013231U;236;31;35.38
1499123_2012066U;222;21;33.27
1499124_2012066H;509;44;76.48
1499806_2012139U;144;21;21.53
1500461_2012139H;88;14;13.1
1504400_2013232U;2078;33;312.68
1514892_2013233U;201;29;30.11
1535201_2012108U;998;41;150.09
1535857_2012108H;386;33;57.96
1543069_2012018U;91;19;13.55
1543070_2012018H;222;21;33.27
1545068_2013009U;1442;45;216.93
1548316_2012067U;252;21;37.79
1548971_2012067H;157;27;23.48
1559495_2013235H;599;30;90.03
1560151_2013235U;224;27;33.57
1568020_2013236U;386;29;57.96
1568021_2013236H;342;32;51.34
1608666_2013240H;367;21;55.1
1609978_2013240U;170;31;25.44
1610658_2013010U;1100;34;165.45
1625709_2013243U;215;26;32.22
1628326_2013244U;98;26;14.6
1628981_2013244H;90;13;13.4
1635560_2012111U;429;32;64.43
1638865_2012144U;226,63;33;33.97
1643414_2013247U;288;26;43.21
1644070_2013247H;125;28;18.67
1649320_2013249H;121;25;18.07
1649355_2013248U;79;25;11.74
1649975_2013249U;243;23;36.43
1653952_2012145U;329;24;49.38
1654607_2012145H;170;25;25.44
1668997_2013252U;326;25;48.93
1668998_2013252H;234;28;35.08
1678851_2012114U;1918;49;288.59
1680172_2012082U;193,282;38;28.95
1686746_2012146H;443;29;66.54
1687401_2012146U;243;23;36.43
1705114_2012148U;244;22;36.58
1705769_2012148H;113;21;16.86
1712315_2012117U;144,642;27;21.62
1718236_2012149U;296;27;44.41
1718891_2012149H;133;27;19.87
1719550_2013258U;768;34;115.47
1738570_2013260U;998;36;150.09
1741852_2012132U;372;31;55.85
1758225_2012089U;1338;44;201.28
1761516_2012091U;83;25;12.34
1768088_2012004U;2138;42;321.71
1771983_2012036U;129,286;30;19.31
1775264_2012037U;70,652;16;10.49
1775294_2012092U;515;34;77.38
1777890_2012038U;59,316;17;8.78
1790396_2013262U;437;42;65.64
1791707_2013262H;454;30;68.2
1796958_2013263U;395;30;59.31
1797613_2013263H;472;23;70.91
1825164_2013269U;2242;37;337.37
1825775_2013268U;612;27;91.98
1825790_2013270H;276;21;41.4
1827102_2013270U;287;33;43.06
1839594_2013273U;2912;39;438.23
1851403_2013274H;314;22;47.12
1851403_2013274U;752;22;113.06
1855311_2013276H;123;20;18.37
1855312_2013276U;135;28;20.17
1856616_2013277U;966;32;145.27
1869773_2012153U;1392;42;209.41
1876990_2013283U;2754;43;414.45
1892074_2013286U;436;33;65.49
1894699_2013288H;480;37;72.11
1894700_2013288U;386;33;57.96
1895312_2013287H;46;21;6.77
1895312_2013287U;128;29;19.12
1903204_2012120U;393;41;59.01
1915659_2012121H;298;29;44.71
1916315_2012121U;254;19;38.09
1932749_2012155U;590,5;40;88.75
1932749_2013755U;946;37;142.26
1935371_2012156H;204;10;30.56
1935371_2013156U;908;29;136.54
1935372_2012156U;228;34;34.17
1936029_2013298H;516;30;77.53
1936684_2013298U;309;30;46.37
1943892_2012100U;1140;35;171.47
1943892_2013700H;228;25;34.17
1943892_2013700U;176;22;26.35
1948459_2013301U;155;18;23.18
1955677_2013303H;314;35;47.12
1957645_2013304U;254;27;38.09
1958300_2013304H;441;35;66.24
1958335_2013306H;413;28;62.02
1958336_2013306U;153;26;22.88
1964207_2013308H;232;18;34.78
1964208_2013308U;192;23;28.75
1965552_2013310U;491;35;73.77
1966207_2013310H;578;41;86.86
1968164_2012122H;182;34;27.25
1970132_2012123U;592;32;88.97
1970133_2013723U;526;33;79.04
1979954_2013314U;453;41;68.05
1980609_2013314H;70;16;10.39
1985879_2013315H;572;38;85.96
1986535_2013315U;228;17;34.17
199690_2013030U;306;22;45.92
2000951_2013321H;20;5;2.86
2000952_2013321U;146;24;21.83
2016716_2013327U;233;29;34.93
2016718_2013327H;279;26;41.85
2022611_2013330H;182;28;27.25
2022612_2013330U;118;26;17.61
2024552_2012056U;379;26;56.91
2025207_2012056U;388;26;58.26
2025249_2013333U;608;36;91.38
2025860_2013331U;84;15;12.5
2025907_2013334H;148;25;22.13
2026516_2013331H;120;26;17.91
2027219_2013334U;221;26;33.12
2028529_2012158H;614;44;92.28
2028530_2012158U;282;32;42.3
2032463_2012136H;126;21;18.82
2032464_2012136U;753;50;113.21
2050174_2013339H;451;30;67.74
2059358_2013345H;109;13;16.26
2060013_2013345U;379;41;56.91
2061262_2013346U;43;16;6.32
2065244_2013349U;586;39;88.07
2065900_2013349H;213;29;31.92
236360_2013037U;104;11;15.51
244973_2013527H;601;28;90.33
244973_2013527U;511;35;76.78
275718_2013043U;488;24;73.31
290888_2013045H;612;28;91.98
298137_2013050H;463;17;69.55
298137_2013050U;99;15;14.75
317822_2013053H;7;4;0.9
318478_2013053U;54;11;7.98
346685_2013533U;136;18;20.32
347965_2013532U;116;10;17.31
349319_2013056U;104;19;15.51
355182_2012JL2H;636;34;95.6
355182_2012JL2U;537;36;80.69
373581_2012263U;258;18;38.69
373581_2012963U;344;23;51.64
379475_2013057U;38;6;5.57
393900_2012268U;79;12;11.74
409660_2012269U;444;23;66.69
411632_2012270H;385;37;57.81
429982_2012278U;82;16;12.19
430647_2012277U;133;19;19.87
433929_2013063U;576;22;86.56
433939_2012281U;148;15;22.13
445752_2012284U;233;16;34.93
446406_2013064U;844;39;126.91
449664_2012285U;323;33;48.48
485074_2013543U;122;13;18.22
503471_2013071U;504;23;75.72
505438_2013544U;690;32;103.72
508700_2013545U;282;24;42.3
511316_2013072U;94;10;14
531679_2013077U;558;31;83.85
538879_2013075U;380;31;57.06
540856_2013076U;156;17;23.33
561853_2013081U;146;12;21.83
574300_2013083U;50;10;7.38
577589_2013084U;88;17;13.1
594641_2013085U;64;16;9.48
607783_2013086U;482;28;72.41
614327_2013088U;698;34;104.93
614335_2012301U;20;5;2.86
614992_2012247U;201;31;30.11
653038_2013555U;788;33;118.48
653682_2013092U;205;30;30.71
654338_2013092H;734;45;110.35
656320_2013556U;324;24;48.63
672702_2013098U;2124;44;319.6
